Model,object,signage,natural,long,Overall
DALLE3,0.6228697007364028,0.6164399014915658,0.6227016198854909,0.582835831993561,0.6112117635267552
DeepFloydIF,0.5757607721942857,0.5636384931323483,0.6566471279398111,0.38603747697255025,0.5455209675597488
DALLE2,0.43915553998021617,0.3541716833988973,0.4194463431305537,0.22196139443948404,0.3586837402372878
SDTypography,0.33014101004354496,0.34718737199190935,0.3888150243932999,0.2559589647901594,0.33052559280472843
SDXL,0.2956383091064929,0.3326468187103477,0.39618042986010876,0.21131477875421478,0.30894508410779103
SD,0.2752760198992774,0.2646382147906012,0.31700643649907095,0.21901233231397352,0.2689832508757308
PlayGroundV2,0.1872651395486697,0.2275082084596206,0.17443495251563154,0.20196081017604756,0.19779227767499233
Wuerstchen,0.1430697124781653,0.19495204780009176,0.1850932820685471,0.19274101751639122,0.17896401496579883
Kandinsky,0.13065036868662686,0.197563860375087,0.18093205943286114,0.16747191174557866,0.16915455006003843
